lat,long,ele,time  
43.54968388333333,1.486285183333333,187.0,2010-01-07T08:22:29Z
43.54977156666667,1.486428650000000,187.0,2010-01-07T08:22:30Z
43.54997663333334,1.486780100000000,187.0,2010-01-07T08:22:35Z
43.55009226666667,1.486951250000000,187.0,2010-01-07T08:22:37Z
43.55042408333334,1.487131483333333,187.0,2010-01-07T08:22:39Z
43.55054703333334,1.487017300000000,187.0,2010-01-07T08:22:46Z
43.55071885000001,1.486791816666666,187.0,2010-01-07T08:22:49Z
43.55083736666668,1.486823500000000,187.0,2010-01-07T08:22:54Z
43.55083736666668,1.486823500000000,187.0,2010-01-07T08:23:09Z
43.55083736666668,1.486823500000000,187.0,2010-01-07T08:23:29Z
43.55083736666668,1.486823500000000,187.0,2010-01-07T08:23:44Z
43.58257591666667,1.459084133333333,190.5,2010-01-07T08:11:49Z
43.58245161666667,1.459603550000000,190.4,2010-01-07T08:11:52Z
43.58240246666666,1.459788500000000,190.2,2010-01-07T08:11:58Z
43.58235211666667,1.459982316666667,190.0,2010-01-07T08:12:00Z
43.58228031666665,1.460226983333333,189.9,2010-01-07T08:12:03Z
43.58222441666667,1.460413166666667,189.8,2010-01-07T08:12:06Z
43.58205645000000,1.461069433333333,189.6,2010-01-07T08:12:11Z
43.58195623333333,1.461340016666667,189.3,2010-01-07T08:12:17Z
43.58217408333334,1.460590300000000,189.7,2010-01-07T08:12:08Z
43.58185923333334,1.461693183333333,189.1,2010-01-07T08:12:21Z
43.58179211666667,1.461966683333333,189.0,2010-01-07T08:12:25Z
43.58174886666668,1.462199333333333,188.8,2010-01-07T08:12:27Z
43.58168551666666,1.462634283333333,188.7,2010-01-07T08:12:30Z
43.58164126666667,1.462835816666667,188.4,2010-01-07T08:12:37Z
43.58678583333334,1.451751866666667,195.6,2010-01-07T08:09:54Z
43.58660956666666,1.451886300000000,195.5,2010-01-07T08:09:57Z
43.58645261666667,1.452014950000000,195.3,2010-01-07T08:10:00Z
43.58627368333334,1.452171150000000,195.2,2010-01-07T08:10:03Z
43.58614765000001,1.452291816666667,195.1,2010-01-07T08:10:05Z
43.58603880000000,1.452407366666667,195.0,2010-01-07T08:10:07Z
43.58579073333333,1.452686800000000,194.9,2010-01-07T08:10:09Z
43.58558401666666,1.452909083333333,194.6,2010-01-07T08:10:16Z
43.58546213333334,1.453006116666667,194.5,2010-01-07T08:10:18Z
43.58534235000000,1.453105800000000,194.4,2010-01-07T08:10:20Z
43.58461183333333,1.454468550000000,193.3,2010-01-07T08:10:45Z
43.58466688333333,1.454687933333334,193.2,2010-01-07T08:10:48Z
43.58468505000000,1.454749333333333,193.2,2010-01-07T08:10:49Z
43.58460523333333,1.454910366666667,193.1,2010-01-07T08:10:51Z
43.58452403333334,1.455207433333333,192.9,2010-01-07T08:10:55Z
43.58446923333332,1.455407633333333,192.8,2010-01-07T08:10:58Z
43.58421855000000,1.455904200000000,192.6,2010-01-07T08:11:01Z
43.58409033333334,1.456080433333333,192.3,2010-01-07T08:11:08Z
43.58398263333333,1.456203650000000,192.2,2010-01-07T08:11:10Z
43.58386975000000,1.456327116666667,192.2,2010-01-07T08:11:12Z
43.58377285000000,1.456462450000000,192.1,2010-01-07T08:11:14Z
